model,bucket_idx,bucket_label,brier_score
HeteroscedasticNN,33,54-56,0.022406282613817316
HeteroscedasticNN,34,56-58,0.02293733661870102
HeteroscedasticNN,35,58-60,0.01294798427572352
HeteroscedasticNN,36,60-62,0.017987636687673645
HeteroscedasticNN,37,62-64,0.021047922220108376
HeteroscedasticNN,38,64-66,0.02081691223478657
HeteroscedasticNN,39,66-68,0.02168632951716191
HeteroscedasticNN,40,68-70,0.03782343519194452
HeteroscedasticNN,41,70-72,0.024064969455926496
HeteroscedasticNN,42,72-74,0.026094814610832733
HeteroscedasticNN,43,74-76,0.033543086146201655
HeteroscedasticNN,44,76-78,0.019106386270971734
HeteroscedasticNN,45,78-80,0.03293596655028625
HeteroscedasticNN,46,80-82,0.0345326213625635
HeteroscedasticNN,47,82-84,0.03727014455056308
HeteroscedasticNN,48,84-86,0.03608568363834699
HeteroscedasticNN,49,86-88,0.05096383634690006
HeteroscedasticNN,50,88-90,0.0248927644811895
HeteroscedasticNN,51,90-92,0.022505322335850075
HeteroscedasticNN,52,92-94,0.011366779899800016
HeteroscedasticNN,53,94-96,0.003907595422203746
HeteroscedasticNN,54,96-98,0.002866920012236468
HeteroscedasticNN,55,98-100,0.0019216261765551774
HeteroscedasticNN,56,100-102,0.0006248206940562761
HeteroscedasticNN,57,102-104,0.00013044289154135122
HeteroscedasticNN,58,104-106,7.205828085054134e-05
HeteroscedasticNN,59,106-108,3.820718633807136e-05
HeteroscedasticNN,60,108-110,1.9672080329166066e-05
HeteroscedasticNN,61,Above 110,0.00012301502605049512
