date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-04-10,KXHIGHNY-25APR10-T56,KXHIGHNY-25APR10,Above 56F,56.0,56.0,,above,greater,0.05,0,51.0,no,0,83,0.0,0.01
2025-04-11,KXHIGHNY-25APR11-T48,KXHIGHNY-25APR11,Below 48F,48.0,,48.0,below,less,0.99,1,46.0,yes,100,15899,0.99,1.0
2025-04-11,KXHIGHNY-25APR11-B48.5,KXHIGHNY-25APR11,48-50F,48.0,48.0,50.0,between,between,0.01,0,46.0,no,0,15467,0.0,0.01
2025-04-11,KXHIGHNY-25APR11-B50.5,KXHIGHNY-25APR11,50-52F,50.0,50.0,52.0,between,between,0.02,0,46.0,no,0,5370,0.0,0.01
2025-04-11,KXHIGHNY-25APR11-B52.5,KXHIGHNY-25APR11,52-54F,52.0,52.0,54.0,between,between,0.01,0,46.0,no,0,1338,0.0,0.01
2025-04-11,KXHIGHNY-25APR11-B54.5,KXHIGHNY-25APR11,54-56F,54.0,54.0,56.0,between,between,0.01,0,46.0,no,0,1023,0.0,0.01
2025-04-11,KXHIGHNY-25APR11-T55,KXHIGHNY-25APR11,Above 55F,55.0,55.0,,above,greater,0.01,0,46.0,no,0,53,0.0,0.01
2025-04-12,KXHIGHNY-25APR12-T41,KXHIGHNY-25APR12,Below 41F,41.0,,41.0,below,less,0.85,1,40.0,yes,100,31272,0.85,0.97
2025-04-12,KXHIGHNY-25APR12-B41.5,KXHIGHNY-25APR12,41-43F,41.0,41.0,43.0,between,between,0.07,0,40.0,no,0,23790,0.06,0.14
2025-04-12,KXHIGHNY-25APR12-B43.5,KXHIGHNY-25APR12,43-45F,43.0,43.0,45.0,between,between,0.01,0,40.0,no,0,8949,0.0,0.01
2025-04-12,KXHIGHNY-25APR12-B45.5,KXHIGHNY-25APR12,45-47F,45.0,45.0,47.0,between,between,0.01,0,40.0,no,0,2387,0.0,0.01
2025-04-12,KXHIGHNY-25APR12-B47.5,KXHIGHNY-25APR12,47-49F,47.0,47.0,49.0,between,between,0.02,0,40.0,no,0,307,0.0,0.01
2025-04-12,KXHIGHNY-25APR12-T48,KXHIGHNY-25APR12,Above 48F,48.0,48.0,,above,greater,0.01,0,40.0,no,0,229,0.0,0.01
2025-04-13,KXHIGHNY-25APR13-B53.5,KXHIGHNY-25APR13,53-55F,53.0,53.0,55.0,between,between,0.01,0,58.0,no,0,19550,0.0,0.01
2025-04-13,KXHIGHNY-25APR13-T53,KXHIGHNY-25APR13,Below 53F,53.0,,53.0,below,less,0.01,0,58.0,no,0,8575,0.0,0.01
2025-04-13,KXHIGHNY-25APR13-B55.5,KXHIGHNY-25APR13,55-57F,55.0,55.0,57.0,between,between,0.01,0,58.0,no,0,13551,0.0,0.01
2025-04-13,KXHIGHNY-25APR13-B57.5,KXHIGHNY-25APR13,57-59F,57.0,57.0,59.0,between,between,0.97,1,58.0,yes,100,11493,0.97,1.0
2025-04-13,KXHIGHNY-25APR13-B59.5,KXHIGHNY-25APR13,59-61F,59.0,59.0,61.0,between,between,0.04,0,58.0,no,0,4657,0.0,0.04
2025-04-13,KXHIGHNY-25APR13-T60,KXHIGHNY-25APR13,Above 60F,60.0,60.0,,above,greater,0.02,0,58.0,no,0,2887,0.0,0.01
