date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-07-13,HIGHNY-23JUL13-T92,Above 93F,93.0,,above,greater,0.5,0,100,0,250,2023-07-13 05:00:00 UTC
2023-07-13,HIGHNY-23JUL13-B91.5,91-92F,91.0,92.0,between,between,0.275,3,52,0,22,2023-07-13 05:00:00 UTC
2023-07-13,HIGHNY-23JUL13-B89.5,89-90F,89.0,90.0,between,between,0.275,3,52,0,148,2023-07-13 05:00:00 UTC
2023-07-13,HIGHNY-23JUL13-B87.5,87-88F,87.0,88.0,between,between,0.26,0,52,0,383,2023-07-13 05:00:00 UTC
2023-07-13,HIGHNY-23JUL13-B85.5,85-86F,85.0,86.0,between,between,0.045,3,6,2,17,2023-07-13 02:00:00 UTC
2023-07-13,HIGHNY-23JUL13-T85,Below 84F,,84.0,below,less,0.015,0,3,0,0,2023-07-13 00:00:00 UTC
2023-07-14,HIGHNY-23JUL14-T88,Above 89F,89.0,,above,greater,0.51,3,99,10,100,2023-07-14 02:00:00 UTC
2023-07-14,HIGHNY-23JUL14-B87.5,87-88F,87.0,88.0,between,between,0.285,5,52,0,102,2023-07-14 03:00:00 UTC
2023-07-14,HIGHNY-23JUL14-B85.5,85-86F,85.0,86.0,between,between,0.275,3,52,0,143,2023-07-14 03:00:00 UTC
2023-07-14,HIGHNY-23JUL14-B83.5,83-84F,83.0,84.0,between,between,0.365,21,52,0,263,2023-07-14 03:00:00 UTC
2023-07-14,HIGHNY-23JUL14-B81.5,81-82F,81.0,82.0,between,between,0.325,13,52,0,471,2023-07-14 03:00:00 UTC
2023-07-14,HIGHNY-23JUL14-T81,Below 80F,,80.0,below,less,0.53,7,99,11,187,2023-07-14 02:00:00 UTC
2023-07-15,HIGHNY-23JUL15-T89,Above 90F,90.0,,above,greater,0.57,15,99,32,208,2023-07-15 04:00:00 UTC
2023-07-15,HIGHNY-23JUL15-B88.5,88-89F,88.0,89.0,between,between,0.26,0,52,0,175,2023-07-15 05:00:00 UTC
2023-07-15,HIGHNY-23JUL15-B86.5,86-87F,86.0,87.0,between,between,0.275,3,52,0,26,2023-07-15 04:00:00 UTC
2023-07-15,HIGHNY-23JUL15-B84.5,84-85F,84.0,85.0,between,between,0.26,0,52,0,57,2023-07-15 05:00:00 UTC
2023-07-15,HIGHNY-23JUL15-T82,Below 81F,,81.0,below,less,,,,,,
2023-07-15,HIGHNY-23JUL15-B82.5,82-83F,82.0,83.0,between,between,,,,,,
2023-07-16,HIGHNY-23JUL16-T87,Above 88F,88.0,,above,greater,0.495,0,99,0,0,2023-07-16 02:00:00 UTC
2023-07-16,HIGHNY-23JUL16-B86.5,86-87F,86.0,87.0,between,between,0.27,0,54,0,0,2023-07-16 01:00:00 UTC
2023-07-16,HIGHNY-23JUL16-B84.5,84-85F,84.0,85.0,between,between,0.27,0,54,0,0,2023-07-16 02:00:00 UTC
2023-07-16,HIGHNY-23JUL16-B82.5,82-83F,82.0,83.0,between,between,0.31,7,55,0,8,2023-07-16 04:00:00 UTC
2023-07-16,HIGHNY-23JUL16-B80.5,80-81F,80.0,81.0,between,between,0.35,30,40,0,300,2023-07-16 03:00:00 UTC
2023-07-16,HIGHNY-23JUL16-T80,Below 79F,,79.0,below,less,0.575,15,100,0,521,2023-07-16 03:00:00 UTC
2023-07-17,HIGHNY-23JUL17-T92,Above 93F,93.0,,above,greater,0.5,0,100,0,0,2023-07-17 04:00:00 UTC
2023-07-17,HIGHNY-23JUL17-B91.5,91-92F,91.0,92.0,between,between,0.31,10,52,0,200,2023-07-17 05:00:00 UTC
2023-07-17,HIGHNY-23JUL17-B89.5,89-90F,89.0,90.0,between,between,0.37,22,52,0,752,2023-07-17 05:00:00 UTC
2023-07-17,HIGHNY-23JUL17-T85,Below 84F,,84.0,below,less,0.09,0,18,0,446,2023-07-17 04:00:00 UTC
2023-07-17,HIGHNY-23JUL17-B87.5,87-88F,87.0,88.0,between,between,0.315,11,52,0,524,2023-07-17 05:00:00 UTC
2023-07-17,HIGHNY-23JUL17-B85.5,85-86F,85.0,86.0,between,between,0.26,1,51,0,450,2023-07-17 03:00:00 UTC
2023-07-18,HIGHNY-23JUL18-T91,Above 92F,92.0,,above,greater,0.495,0,99,0,0,2023-07-17 22:00:00 UTC
2023-07-18,HIGHNY-23JUL18-B90.5,90-91F,90.0,91.0,between,between,0.27,3,51,0,261,2023-07-18 04:00:00 UTC
2023-07-18,HIGHNY-23JUL18-B88.5,88-89F,88.0,89.0,between,between,0.26,23,29,0,135,2023-07-18 04:00:00 UTC
2023-07-18,HIGHNY-23JUL18-B86.5,86-87F,86.0,87.0,between,between,0.355,33,38,0,10,2023-07-18 04:00:00 UTC
2023-07-18,HIGHNY-23JUL18-B84.5,84-85F,84.0,85.0,between,between,0.235,22,25,0,37,2023-07-18 04:00:00 UTC
2023-07-18,HIGHNY-23JUL18-T84,Below 83F,,83.0,below,less,0.495,0,99,5,5,2023-07-17 22:00:00 UTC
2023-07-19,HIGHNY-23JUL19-T89,Above 90F,90.0,,above,greater,0.055,0,11,0,0,2023-07-18 22:00:00 UTC
2023-07-19,HIGHNY-23JUL19-B88.5,88-89F,88.0,89.0,between,between,0.095,0,19,0,0,2023-07-19 05:00:00 UTC
2023-07-19,HIGHNY-23JUL19-B86.5,86-87F,86.0,87.0,between,between,0.2,3,37,0,200,2023-07-19 05:00:00 UTC
2023-07-19,HIGHNY-23JUL19-B84.5,84-85F,84.0,85.0,between,between,0.185,0,37,0,272,2023-07-19 05:00:00 UTC
2023-07-19,HIGHNY-23JUL19-B82.5,82-83F,82.0,83.0,between,between,0.37,22,52,0,616,2023-07-19 05:00:00 UTC
2023-07-19,HIGHNY-23JUL19-T82,Below 81F,,81.0,below,less,0.625,25,100,0,733,2023-07-19 05:00:00 UTC
2023-07-20,HIGHNY-23JUL20-T88,Above 89F,89.0,,above,greater,0.075,3,12,0,0,2023-07-20 02:00:00 UTC
2023-07-20,HIGHNY-23JUL20-T81,Below 80F,,80.0,below,less,,,,,,
2023-07-20,HIGHNY-23JUL20-B87.5,87-88F,87.0,88.0,between,between,0.555,11,100,0,434,2023-07-20 05:00:00 UTC
2023-07-20,HIGHNY-23JUL20-B85.5,85-86F,85.0,86.0,between,between,0.5,0,100,0,70,2023-07-20 05:00:00 UTC
2023-07-20,HIGHNY-23JUL20-B83.5,83-84F,83.0,84.0,between,between,0.26,15,37,0,9,2023-07-20 05:00:00 UTC
2023-07-20,HIGHNY-23JUL20-B81.5,81-82F,81.0,82.0,between,between,0.495,0,99,0,12,2023-07-20 04:00:00 UTC
2023-07-21,HIGHNY-23JUL21-T84,Above 85F,85.0,,above,greater,,,,,,
2023-07-21,HIGHNY-23JUL21-B83.5,83-84F,83.0,84.0,between,between,0.1,0,20,0,0,2023-07-21 03:00:00 UTC
2023-07-21,HIGHNY-23JUL21-B81.5,81-82F,81.0,82.0,between,between,0.15,11,19,0,14,2023-07-21 05:00:00 UTC
2023-07-21,HIGHNY-23JUL21-B79.5,79-80F,79.0,80.0,between,between,0.295,22,37,0,253,2023-07-21 04:00:00 UTC
2023-07-21,HIGHNY-23JUL21-B77.5,77-78F,77.0,78.0,between,between,0.365,28,45,0,599,2023-07-21 03:00:00 UTC
2023-07-21,HIGHNY-23JUL21-T77,Below 76F,,76.0,below,less,0.13,10,16,0,0,2023-07-21 02:00:00 UTC
2023-07-22,HIGHNY-23JUL22-T87,Above 88F,88.0,,above,greater,0.315,0,63,0,336,2023-07-22 04:00:00 UTC
2023-07-22,HIGHNY-23JUL22-B86.5,86-87F,86.0,87.0,between,between,0.345,32,37,0,14,2023-07-22 04:00:00 UTC
2023-07-22,HIGHNY-23JUL22-B84.5,84-85F,84.0,85.0,between,between,0.35,32,38,0,156,2023-07-22 04:00:00 UTC
2023-07-22,HIGHNY-23JUL22-B82.5,82-83F,82.0,83.0,between,between,0.175,15,20,0,604,2023-07-22 04:00:00 UTC
2023-07-22,HIGHNY-23JUL22-B80.5,80-81F,80.0,81.0,between,between,,,,,,
2023-07-22,HIGHNY-23JUL22-T80,Below 79F,,79.0,below,less,0.08,0,16,0,0,2023-07-22 02:00:00 UTC
2023-07-23,HIGHNY-23JUL23-T90,Above 91F,91.0,,above,greater,0.045,0,9,0,0,2023-07-23 00:00:00 UTC
2023-07-23,HIGHNY-23JUL23-B89.5,89-90F,89.0,90.0,between,between,0.21,17,25,0,188,2023-07-23 03:00:00 UTC
2023-07-23,HIGHNY-23JUL23-B87.5,87-88F,87.0,88.0,between,between,0.42,32,52,0,317,2023-07-23 03:00:00 UTC
2023-07-23,HIGHNY-23JUL23-B85.5,85-86F,85.0,86.0,between,between,0.275,24,31,0,381,2023-07-23 04:00:00 UTC
2023-07-23,HIGHNY-23JUL23-B83.5,83-84F,83.0,84.0,between,between,0.255,0,51,0,8,2023-07-23 02:00:00 UTC
